id,target
boostcamp-sts-v1-test-000,3.3
boostcamp-sts-v1-test-001,4.3
boostcamp-sts-v1-test-002,1.8
boostcamp-sts-v1-test-003,0.1
boostcamp-sts-v1-test-004,4.0
boostcamp-sts-v1-test-005,3.4
boostcamp-sts-v1-test-006,4.4
boostcamp-sts-v1-test-007,1.5
boostcamp-sts-v1-test-008,0.4
boostcamp-sts-v1-test-009,5.1
boostcamp-sts-v1-test-010,2.3
boostcamp-sts-v1-test-011,2.6
boostcamp-sts-v1-test-012,3.1
boostcamp-sts-v1-test-013,2.7
boostcamp-sts-v1-test-014,1.3
boostcamp-sts-v1-test-015,4.7
boostcamp-sts-v1-test-016,5.1
boostcamp-sts-v1-test-017,2.3
boostcamp-sts-v1-test-018,5.1
boostcamp-sts-v1-test-019,4.8
boostcamp-sts-v1-test-020,2.9
boostcamp-sts-v1-test-021,2.7
boostcamp-sts-v1-test-022,1.2
boostcamp-sts-v1-test-023,0.4
boostcamp-sts-v1-test-024,1.8
boostcamp-sts-v1-test-025,2.9
boostcamp-sts-v1-test-026,1.0
boostcamp-sts-v1-test-027,0.9
boostcamp-sts-v1-test-028,3.8
boostcamp-sts-v1-test-029,3.3
boostcamp-sts-v1-test-030,4.7
boostcamp-sts-v1-test-031,0.6
boostcamp-sts-v1-test-032,3.0
boostcamp-sts-v1-test-033,3.1
boostcamp-sts-v1-test-034,3.2
boostcamp-sts-v1-test-035,0.6
boostcamp-sts-v1-test-036,3.6
boostcamp-sts-v1-test-037,0.4
boostcamp-sts-v1-test-038,1.4
boostcamp-sts-v1-test-039,3.4
boostcamp-sts-v1-test-040,0.5
boostcamp-sts-v1-test-041,4.2
boostcamp-sts-v1-test-042,0.5
boostcamp-sts-v1-test-043,1.3
boostcamp-sts-v1-test-044,2.8
boostcamp-sts-v1-test-045,5.2
boostcamp-sts-v1-test-046,2.4
boostcamp-sts-v1-test-047,1.4
boostcamp-sts-v1-test-048,0.3
boostcamp-sts-v1-test-049,3.8
boostcamp-sts-v1-test-050,0.1
boostcamp-sts-v1-test-051,1.3
boostcamp-sts-v1-test-052,3.1
boostcamp-sts-v1-test-053,3.0
boostcamp-sts-v1-test-054,4.0
boostcamp-sts-v1-test-055,1.5
boostcamp-sts-v1-test-056,3.6
boostcamp-sts-v1-test-057,1.6
boostcamp-sts-v1-test-058,2.0
boostcamp-sts-v1-test-059,3.9
boostcamp-sts-v1-test-060,4.7
boostcamp-sts-v1-test-061,3.7
boostcamp-sts-v1-test-062,1.4
boostcamp-sts-v1-test-063,1.9
boostcamp-sts-v1-test-064,2.5
boostcamp-sts-v1-test-065,5.1
boostcamp-sts-v1-test-066,3.2
boostcamp-sts-v1-test-067,0.7
boostcamp-sts-v1-test-068,2.8
boostcamp-sts-v1-test-069,2.6
boostcamp-sts-v1-test-070,0.1
boostcamp-sts-v1-test-071,3.4
boostcamp-sts-v1-test-072,5.0
boostcamp-sts-v1-test-073,4.5
boostcamp-sts-v1-test-074,0.2
boostcamp-sts-v1-test-075,1.7
boostcamp-sts-v1-test-076,3.0
boostcamp-sts-v1-test-077,2.6
boostcamp-sts-v1-test-078,2.7
boostcamp-sts-v1-test-079,4.3
boostcamp-sts-v1-test-080,1.2
boostcamp-sts-v1-test-081,3.6
boostcamp-sts-v1-test-082,1.8
boostcamp-sts-v1-test-083,1.9
boostcamp-sts-v1-test-084,0.9
boostcamp-sts-v1-test-085,5.1
boostcamp-sts-v1-test-086,4.3
boostcamp-sts-v1-test-087,1.5
boostcamp-sts-v1-test-088,4.4
boostcamp-sts-v1-test-089,4.5
boostcamp-sts-v1-test-090,5.1
boostcamp-sts-v1-test-091,1.5
boostcamp-sts-v1-test-092,0.6
boostcamp-sts-v1-test-093,2.5
boostcamp-sts-v1-test-094,4.8
boostcamp-sts-v1-test-095,2.1
boostcamp-sts-v1-test-096,2.4
boostcamp-sts-v1-test-097,3.2
boostcamp-sts-v1-test-098,0.4
boostcamp-sts-v1-test-099,3.6
boostcamp-sts-v1-test-100,1.7
boostcamp-sts-v1-test-101,5.2
boostcamp-sts-v1-test-102,4.8
boostcamp-sts-v1-test-103,3.9
boostcamp-sts-v1-test-104,4.2
boostcamp-sts-v1-test-105,0.5
boostcamp-sts-v1-test-106,4.0
boostcamp-sts-v1-test-107,3.7
boostcamp-sts-v1-test-108,2.8
boostcamp-sts-v1-test-109,4.2
boostcamp-sts-v1-test-110,3.6
boostcamp-sts-v1-test-111,0.4
boostcamp-sts-v1-test-112,0.2
boostcamp-sts-v1-test-113,3.0
boostcamp-sts-v1-test-114,1.5
boostcamp-sts-v1-test-115,3.1
boostcamp-sts-v1-test-116,0.4
boostcamp-sts-v1-test-117,5.2
boostcamp-sts-v1-test-118,2.6
boostcamp-sts-v1-test-119,3.6
boostcamp-sts-v1-test-120,4.7
boostcamp-sts-v1-test-121,4.1
boostcamp-sts-v1-test-122,2.3
boostcamp-sts-v1-test-123,3.8
boostcamp-sts-v1-test-124,3.2
boostcamp-sts-v1-test-125,0.7
boostcamp-sts-v1-test-126,4.3
boostcamp-sts-v1-test-127,5.1
boostcamp-sts-v1-test-128,4.3
boostcamp-sts-v1-test-129,5.1
boostcamp-sts-v1-test-130,2.9
boostcamp-sts-v1-test-131,4.2
boostcamp-sts-v1-test-132,5.1
boostcamp-sts-v1-test-133,1.4
boostcamp-sts-v1-test-134,5.0
boostcamp-sts-v1-test-135,4.1
boostcamp-sts-v1-test-136,1.5
boostcamp-sts-v1-test-137,3.6
boostcamp-sts-v1-test-138,2.5
boostcamp-sts-v1-test-139,3.0
boostcamp-sts-v1-test-140,4.8
boostcamp-sts-v1-test-141,1.3
boostcamp-sts-v1-test-142,2.3
boostcamp-sts-v1-test-143,5.1
boostcamp-sts-v1-test-144,0.9
boostcamp-sts-v1-test-145,0.6
boostcamp-sts-v1-test-146,0.5
boostcamp-sts-v1-test-147,1.0
boostcamp-sts-v1-test-148,0.6
boostcamp-sts-v1-test-149,4.2
boostcamp-sts-v1-test-150,2.1
boostcamp-sts-v1-test-151,5.0
boostcamp-sts-v1-test-152,2.4
boostcamp-sts-v1-test-153,1.8
boostcamp-sts-v1-test-154,1.4
boostcamp-sts-v1-test-155,0.4
boostcamp-sts-v1-test-156,4.7
boostcamp-sts-v1-test-157,5.1
boostcamp-sts-v1-test-158,4.9
boostcamp-sts-v1-test-159,0.8
boostcamp-sts-v1-test-160,4.8
boostcamp-sts-v1-test-161,0.4
boostcamp-sts-v1-test-162,3.6
boostcamp-sts-v1-test-163,1.9
boostcamp-sts-v1-test-164,3.3
boostcamp-sts-v1-test-165,4.9
boostcamp-sts-v1-test-166,0.7
boostcamp-sts-v1-test-167,4.2
boostcamp-sts-v1-test-168,0.9
boostcamp-sts-v1-test-169,4.5
boostcamp-sts-v1-test-170,3.8
boostcamp-sts-v1-test-171,2.3
boostcamp-sts-v1-test-172,4.5
boostcamp-sts-v1-test-173,1.7
boostcamp-sts-v1-test-174,4.6
boostcamp-sts-v1-test-175,1.9
boostcamp-sts-v1-test-176,0.0
boostcamp-sts-v1-test-177,5.1
boostcamp-sts-v1-test-178,2.2
boostcamp-sts-v1-test-179,4.5
boostcamp-sts-v1-test-180,3.3
boostcamp-sts-v1-test-181,3.0
boostcamp-sts-v1-test-182,2.8
boostcamp-sts-v1-test-183,0.9
boostcamp-sts-v1-test-184,1.9
boostcamp-sts-v1-test-185,4.7
boostcamp-sts-v1-test-186,2.3
boostcamp-sts-v1-test-187,3.7
boostcamp-sts-v1-test-188,-0.0
boostcamp-sts-v1-test-189,4.1
boostcamp-sts-v1-test-190,2.5
boostcamp-sts-v1-test-191,1.3
boostcamp-sts-v1-test-192,1.2
boostcamp-sts-v1-test-193,1.9
boostcamp-sts-v1-test-194,2.5
boostcamp-sts-v1-test-195,1.0
boostcamp-sts-v1-test-196,1.7
boostcamp-sts-v1-test-197,4.7
boostcamp-sts-v1-test-198,4.2
boostcamp-sts-v1-test-199,0.8
boostcamp-sts-v1-test-200,3.4
boostcamp-sts-v1-test-201,2.6
boostcamp-sts-v1-test-202,4.7
boostcamp-sts-v1-test-203,0.3
boostcamp-sts-v1-test-204,2.5
boostcamp-sts-v1-test-205,2.4
boostcamp-sts-v1-test-206,1.8
boostcamp-sts-v1-test-207,1.5
boostcamp-sts-v1-test-208,0.7
boostcamp-sts-v1-test-209,3.5
boostcamp-sts-v1-test-210,2.1
boostcamp-sts-v1-test-211,3.0
boostcamp-sts-v1-test-212,1.0
boostcamp-sts-v1-test-213,0.6
boostcamp-sts-v1-test-214,4.4
boostcamp-sts-v1-test-215,3.4
boostcamp-sts-v1-test-216,4.2
boostcamp-sts-v1-test-217,1.5
boostcamp-sts-v1-test-218,1.7
boostcamp-sts-v1-test-219,0.3
boostcamp-sts-v1-test-220,4.0
boostcamp-sts-v1-test-221,3.5
boostcamp-sts-v1-test-222,3.8
boostcamp-sts-v1-test-223,2.9
boostcamp-sts-v1-test-224,4.7
boostcamp-sts-v1-test-225,3.9
boostcamp-sts-v1-test-226,4.2
boostcamp-sts-v1-test-227,3.1
boostcamp-sts-v1-test-228,3.0
boostcamp-sts-v1-test-229,0.2
boostcamp-sts-v1-test-230,1.4
boostcamp-sts-v1-test-231,1.4
boostcamp-sts-v1-test-232,4.1
boostcamp-sts-v1-test-233,1.4
boostcamp-sts-v1-test-234,-0.0
