id,target
boostcamp-sts-v1-test-000,2.9
boostcamp-sts-v1-test-001,3.2
boostcamp-sts-v1-test-002,0.4
boostcamp-sts-v1-test-003,0.3
boostcamp-sts-v1-test-004,1.7
boostcamp-sts-v1-test-005,2.6
boostcamp-sts-v1-test-006,0.8
boostcamp-sts-v1-test-007,0.4
boostcamp-sts-v1-test-008,0.4
boostcamp-sts-v1-test-009,2.7
boostcamp-sts-v1-test-010,0.4
boostcamp-sts-v1-test-011,2.4
boostcamp-sts-v1-test-012,0.3
boostcamp-sts-v1-test-013,0.5
boostcamp-sts-v1-test-014,0.6
boostcamp-sts-v1-test-015,2.4
boostcamp-sts-v1-test-016,2.2
boostcamp-sts-v1-test-017,1.8
boostcamp-sts-v1-test-018,2.9
boostcamp-sts-v1-test-019,3.3
boostcamp-sts-v1-test-020,0.3
boostcamp-sts-v1-test-021,0.9
boostcamp-sts-v1-test-022,0.9
boostcamp-sts-v1-test-023,0.5
boostcamp-sts-v1-test-024,0.9
boostcamp-sts-v1-test-025,0.3
boostcamp-sts-v1-test-026,0.4
boostcamp-sts-v1-test-027,1.6
boostcamp-sts-v1-test-028,0.5
boostcamp-sts-v1-test-029,0.9
boostcamp-sts-v1-test-030,2.0
boostcamp-sts-v1-test-031,0.3
boostcamp-sts-v1-test-032,0.9
boostcamp-sts-v1-test-033,0.5
boostcamp-sts-v1-test-034,0.6
boostcamp-sts-v1-test-035,0.3
boostcamp-sts-v1-test-036,1.2
boostcamp-sts-v1-test-037,0.3
boostcamp-sts-v1-test-038,0.3
boostcamp-sts-v1-test-039,0.4
boostcamp-sts-v1-test-040,0.3
boostcamp-sts-v1-test-041,1.9
boostcamp-sts-v1-test-042,0.3
boostcamp-sts-v1-test-043,0.5
boostcamp-sts-v1-test-044,0.6
boostcamp-sts-v1-test-045,2.0
boostcamp-sts-v1-test-046,0.3
boostcamp-sts-v1-test-047,0.5
boostcamp-sts-v1-test-048,0.3
boostcamp-sts-v1-test-049,2.1
boostcamp-sts-v1-test-050,0.2
boostcamp-sts-v1-test-051,0.4
boostcamp-sts-v1-test-052,1.8
boostcamp-sts-v1-test-053,3.2
boostcamp-sts-v1-test-054,1.1
boostcamp-sts-v1-test-055,0.5
boostcamp-sts-v1-test-056,1.6
boostcamp-sts-v1-test-057,1.3
boostcamp-sts-v1-test-058,0.8
boostcamp-sts-v1-test-059,0.8
boostcamp-sts-v1-test-060,1.0
boostcamp-sts-v1-test-061,0.3
boostcamp-sts-v1-test-062,0.9
boostcamp-sts-v1-test-063,0.7
boostcamp-sts-v1-test-064,0.9
boostcamp-sts-v1-test-065,2.7
boostcamp-sts-v1-test-066,0.9
boostcamp-sts-v1-test-067,0.4
boostcamp-sts-v1-test-068,0.8
boostcamp-sts-v1-test-069,1.0
boostcamp-sts-v1-test-070,0.3
boostcamp-sts-v1-test-071,0.9
boostcamp-sts-v1-test-072,0.6
boostcamp-sts-v1-test-073,1.0
boostcamp-sts-v1-test-074,0.2
boostcamp-sts-v1-test-075,2.6
boostcamp-sts-v1-test-076,1.3
boostcamp-sts-v1-test-077,0.6
boostcamp-sts-v1-test-078,0.7
boostcamp-sts-v1-test-079,0.7
boostcamp-sts-v1-test-080,0.9
boostcamp-sts-v1-test-081,0.4
boostcamp-sts-v1-test-082,1.1
boostcamp-sts-v1-test-083,0.4
boostcamp-sts-v1-test-084,0.8
boostcamp-sts-v1-test-085,0.7
boostcamp-sts-v1-test-086,0.5
boostcamp-sts-v1-test-087,0.2
boostcamp-sts-v1-test-088,0.7
boostcamp-sts-v1-test-089,2.7
boostcamp-sts-v1-test-090,1.4
boostcamp-sts-v1-test-091,0.7
boostcamp-sts-v1-test-092,0.2
boostcamp-sts-v1-test-093,3.2
boostcamp-sts-v1-test-094,2.4
boostcamp-sts-v1-test-095,0.9
boostcamp-sts-v1-test-096,0.8
boostcamp-sts-v1-test-097,1.8
boostcamp-sts-v1-test-098,0.3
boostcamp-sts-v1-test-099,0.7
boostcamp-sts-v1-test-100,1.8
boostcamp-sts-v1-test-101,2.3
boostcamp-sts-v1-test-102,3.4
boostcamp-sts-v1-test-103,1.0
boostcamp-sts-v1-test-104,0.4
boostcamp-sts-v1-test-105,0.3
boostcamp-sts-v1-test-106,1.2
boostcamp-sts-v1-test-107,1.5
boostcamp-sts-v1-test-108,0.8
boostcamp-sts-v1-test-109,1.2
boostcamp-sts-v1-test-110,0.7
boostcamp-sts-v1-test-111,0.3
boostcamp-sts-v1-test-112,0.2
boostcamp-sts-v1-test-113,0.2
boostcamp-sts-v1-test-114,0.4
boostcamp-sts-v1-test-115,2.1
boostcamp-sts-v1-test-116,0.3
boostcamp-sts-v1-test-117,0.7
boostcamp-sts-v1-test-118,2.9
boostcamp-sts-v1-test-119,1.2
boostcamp-sts-v1-test-120,2.2
boostcamp-sts-v1-test-121,0.6
boostcamp-sts-v1-test-122,0.3
boostcamp-sts-v1-test-123,0.7
boostcamp-sts-v1-test-124,0.3
boostcamp-sts-v1-test-125,0.3
boostcamp-sts-v1-test-126,1.0
boostcamp-sts-v1-test-127,1.2
boostcamp-sts-v1-test-128,1.2
boostcamp-sts-v1-test-129,1.7
boostcamp-sts-v1-test-130,2.3
boostcamp-sts-v1-test-131,0.7
boostcamp-sts-v1-test-132,1.9
boostcamp-sts-v1-test-133,0.3
boostcamp-sts-v1-test-134,2.2
boostcamp-sts-v1-test-135,0.3
boostcamp-sts-v1-test-136,1.0
boostcamp-sts-v1-test-137,0.7
boostcamp-sts-v1-test-138,1.7
boostcamp-sts-v1-test-139,0.6
boostcamp-sts-v1-test-140,0.6
boostcamp-sts-v1-test-141,0.3
boostcamp-sts-v1-test-142,0.5
boostcamp-sts-v1-test-143,1.8
boostcamp-sts-v1-test-144,0.3
boostcamp-sts-v1-test-145,0.4
boostcamp-sts-v1-test-146,0.4
boostcamp-sts-v1-test-147,0.4
boostcamp-sts-v1-test-148,0.2
boostcamp-sts-v1-test-149,1.7
boostcamp-sts-v1-test-150,0.4
boostcamp-sts-v1-test-151,2.3
boostcamp-sts-v1-test-152,0.9
boostcamp-sts-v1-test-153,1.6
boostcamp-sts-v1-test-154,0.4
boostcamp-sts-v1-test-155,0.3
boostcamp-sts-v1-test-156,2.7
boostcamp-sts-v1-test-157,2.2
boostcamp-sts-v1-test-158,3.0
boostcamp-sts-v1-test-159,0.8
boostcamp-sts-v1-test-160,3.0
boostcamp-sts-v1-test-161,0.3
boostcamp-sts-v1-test-162,2.6
boostcamp-sts-v1-test-163,0.4
boostcamp-sts-v1-test-164,0.3
boostcamp-sts-v1-test-165,0.3
boostcamp-sts-v1-test-166,0.3
boostcamp-sts-v1-test-167,2.0
boostcamp-sts-v1-test-168,0.6
boostcamp-sts-v1-test-169,2.5
boostcamp-sts-v1-test-170,1.9
boostcamp-sts-v1-test-171,0.3
boostcamp-sts-v1-test-172,1.0
boostcamp-sts-v1-test-173,0.3
boostcamp-sts-v1-test-174,1.1
boostcamp-sts-v1-test-175,0.5
boostcamp-sts-v1-test-176,0.2
boostcamp-sts-v1-test-177,2.2
boostcamp-sts-v1-test-178,0.3
boostcamp-sts-v1-test-179,3.0
boostcamp-sts-v1-test-180,1.5
boostcamp-sts-v1-test-181,0.9
boostcamp-sts-v1-test-182,0.6
boostcamp-sts-v1-test-183,0.3
boostcamp-sts-v1-test-184,1.1
boostcamp-sts-v1-test-185,1.2
boostcamp-sts-v1-test-186,0.5
boostcamp-sts-v1-test-187,1.7
boostcamp-sts-v1-test-188,0.2
boostcamp-sts-v1-test-189,2.6
boostcamp-sts-v1-test-190,0.5
boostcamp-sts-v1-test-191,0.3
boostcamp-sts-v1-test-192,0.5
boostcamp-sts-v1-test-193,0.5
boostcamp-sts-v1-test-194,0.4
boostcamp-sts-v1-test-195,0.5
boostcamp-sts-v1-test-196,0.3
boostcamp-sts-v1-test-197,2.1
boostcamp-sts-v1-test-198,2.5
boostcamp-sts-v1-test-199,0.4
boostcamp-sts-v1-test-200,1.2
boostcamp-sts-v1-test-201,0.2
boostcamp-sts-v1-test-202,2.0
boostcamp-sts-v1-test-203,0.3
boostcamp-sts-v1-test-204,1.1
boostcamp-sts-v1-test-205,0.8
boostcamp-sts-v1-test-206,0.6
boostcamp-sts-v1-test-207,0.7
boostcamp-sts-v1-test-208,0.3
boostcamp-sts-v1-test-209,1.1
boostcamp-sts-v1-test-210,0.5
boostcamp-sts-v1-test-211,1.1
boostcamp-sts-v1-test-212,0.8
boostcamp-sts-v1-test-213,1.1
boostcamp-sts-v1-test-214,2.5
boostcamp-sts-v1-test-215,1.5
boostcamp-sts-v1-test-216,1.3
boostcamp-sts-v1-test-217,0.2
boostcamp-sts-v1-test-218,0.7
boostcamp-sts-v1-test-219,0.2
boostcamp-sts-v1-test-220,1.2
boostcamp-sts-v1-test-221,1.6
boostcamp-sts-v1-test-222,1.0
boostcamp-sts-v1-test-223,0.6
boostcamp-sts-v1-test-224,2.2
boostcamp-sts-v1-test-225,0.7
boostcamp-sts-v1-test-226,1.0
boostcamp-sts-v1-test-227,1.2
boostcamp-sts-v1-test-228,0.3
boostcamp-sts-v1-test-229,0.3
boostcamp-sts-v1-test-230,0.2
boostcamp-sts-v1-test-231,0.3
boostcamp-sts-v1-test-232,2.1
boostcamp-sts-v1-test-233,2.0
boostcamp-sts-v1-test-234,0.2
boostcamp-sts-v1-test-235,0.3
boostcamp-sts-v1-test-236,2.1
boostcamp-sts-v1-test-237,0.8
boostcamp-sts-v1-test-238,0.4
boostcamp-sts-v1-test-239,0.8
boostcamp-sts-v1-test-240,1.7
boostcamp-sts-v1-test-241,0.7
boostcamp-sts-v1-test-242,0.2
boostcamp-sts-v1-test-243,0.6
boostcamp-sts-v1-test-244,0.3
boostcamp-sts-v1-test-245,1.4
boostcamp-sts-v1-test-246,0.7
boostcamp-sts-v1-test-247,1.8
boostcamp-sts-v1-test-248,1.2
boostcamp-sts-v1-test-249,1.6
boostcamp-sts-v1-test-250,0.4
boostcamp-sts-v1-test-251,0.4
boostcamp-sts-v1-test-252,0.3
boostcamp-sts-v1-test-253,1.8
boostcamp-sts-v1-test-254,0.6
boostcamp-sts-v1-test-255,2.7
boostcamp-sts-v1-test-256,0.4
boostcamp-sts-v1-test-257,1.4
boostcamp-sts-v1-test-258,2.0
boostcamp-sts-v1-test-259,2.2
boostcamp-sts-v1-test-260,2.3
boostcamp-sts-v1-test-261,0.4
boostcamp-sts-v1-test-262,3.0
boostcamp-sts-v1-test-263,1.1
boostcamp-sts-v1-test-264,3.3
boostcamp-sts-v1-test-265,0.7
boostcamp-sts-v1-test-266,2.0
boostcamp-sts-v1-test-267,0.7
boostcamp-sts-v1-test-268,0.8
boostcamp-sts-v1-test-269,0.3
boostcamp-sts-v1-test-270,1.9
boostcamp-sts-v1-test-271,1.5
boostcamp-sts-v1-test-272,0.5
boostcamp-sts-v1-test-273,3.1
boostcamp-sts-v1-test-274,2.8
boostcamp-sts-v1-test-275,1.8
boostcamp-sts-v1-test-276,0.6
boostcamp-sts-v1-test-277,0.3
boostcamp-sts-v1-test-278,2.4
boostcamp-sts-v1-test-279,1.4
boostcamp-sts-v1-test-280,0.3
boostcamp-sts-v1-test-281,2.1
boostcamp-sts-v1-test-282,1.5
boostcamp-sts-v1-test-283,0.5
boostcamp-sts-v1-test-284,1.1
boostcamp-sts-v1-test-285,0.4
boostcamp-sts-v1-test-286,0.4
boostcamp-sts-v1-test-287,1.2
boostcamp-sts-v1-test-288,0.3
boostcamp-sts-v1-test-289,0.3
boostcamp-sts-v1-test-290,0.4
boostcamp-sts-v1-test-291,0.3
boostcamp-sts-v1-test-292,1.0
boostcamp-sts-v1-test-293,0.3
boostcamp-sts-v1-test-294,0.6
boostcamp-sts-v1-test-295,1.9
boostcamp-sts-v1-test-296,0.6
boostcamp-sts-v1-test-297,0.3
boostcamp-sts-v1-test-298,1.0
boostcamp-sts-v1-test-299,0.7
boostcamp-sts-v1-test-300,3.1
boostcamp-sts-v1-test-301,0.4
boostcamp-sts-v1-test-302,0.3
boostcamp-sts-v1-test-303,0.5
boostcamp-sts-v1-test-304,1.4
boostcamp-sts-v1-test-305,1.3
boostcamp-sts-v1-test-306,1.4
boostcamp-sts-v1-test-307,2.6
boostcamp-sts-v1-test-308,0.4
boostcamp-sts-v1-test-309,0.3
boostcamp-sts-v1-test-310,2.6
boostcamp-sts-v1-test-311,0.5
boostcamp-sts-v1-test-312,0.3
boostcamp-sts-v1-test-313,3.3
boostcamp-sts-v1-test-314,0.3
boostcamp-sts-v1-test-315,0.3
boostcamp-sts-v1-test-316,2.3
boostcamp-sts-v1-test-317,0.2
boostcamp-sts-v1-test-318,0.4
boostcamp-sts-v1-test-319,1.4
boostcamp-sts-v1-test-320,0.2
boostcamp-sts-v1-test-321,0.3
boostcamp-sts-v1-test-322,2.2
boostcamp-sts-v1-test-323,0.2
boostcamp-sts-v1-test-324,0.7
boostcamp-sts-v1-test-325,3.0
boostcamp-sts-v1-test-326,1.6
boostcamp-sts-v1-test-327,0.3
boostcamp-sts-v1-test-328,1.1
boostcamp-sts-v1-test-329,0.4
boostcamp-sts-v1-test-330,0.5
boostcamp-sts-v1-test-331,2.7
boostcamp-sts-v1-test-332,1.6
boostcamp-sts-v1-test-333,3.5
boostcamp-sts-v1-test-334,0.3
